,precision,recall,f1-score,support
A,0.9365079365079365,0.9516129032258065,0.944,62.0
Am,0.98989898989899,1.0,0.9949238578680203,98.0
Bb,0.813953488372093,0.8333333333333334,0.8235294117647058,42.0
Bdim,0.9572649572649573,0.9411764705882353,0.9491525423728814,119.0
Bm,0.9473684210526315,0.8372093023255814,0.8888888888888888,43.0
C,0.9069767441860465,0.8863636363636364,0.896551724137931,88.0
D,0.978021978021978,0.967391304347826,0.9726775956284153,92.0
Dm,0.8817204301075269,0.9213483146067416,0.901098901098901,89.0
E,0.9534883720930233,0.9534883720930233,0.9534883720930233,43.0
Em,0.9,0.9574468085106383,0.9278350515463918,47.0
F,0.9534883720930233,0.9425287356321839,0.9479768786127168,87.0
G,0.9411764705882353,0.96,0.9504950495049505,50.0
Accuracy,0.936046511627907,0.936046511627907,0.936046511627907,0.936046511627907
Macro avg,0.9299888466822034,0.9293249317522504,0.9292181894597356,860.0
Weighted avg,0.9366144386656777,0.936046511627907,0.9360207316125202,860.0
