,precision,recall,f1-score,support
A,1.0,0.9354838709677419,0.9666666666666666,62.0
Am,0.9795918367346939,0.9795918367346939,0.9795918367346939,98.0
Bb,0.782608695652174,0.8571428571428571,0.8181818181818182,42.0
Bdim,0.957983193277311,0.957983193277311,0.957983193277311,119.0
Bm,0.925,0.8604651162790697,0.891566265060241,43.0
C,0.9058823529411765,0.875,0.8901734104046243,88.0
D,1.0,1.0,1.0,92.0
Dm,0.8958333333333334,0.9662921348314607,0.9297297297297298,89.0
E,0.9545454545454546,0.9767441860465116,0.9655172413793104,43.0
Em,1.0,0.9574468085106383,0.9782608695652174,47.0
F,0.9885057471264368,0.9885057471264368,0.9885057471264368,87.0
G,0.98,0.98,0.98,50.0
Accuracy,0.9511627906976744,0.9511627906976744,0.9511627906976744,0.9511627906976744
Macro avg,0.9474958844675485,0.9445546459097268,0.945514731510504,860.0
Weighted avg,0.9524846901027163,0.9511627906976744,0.9514081714011495,860.0
