,precision,recall,f1-score,support
A,0.9818181818181818,0.8709677419354839,0.923076923076923,62.0
Am,0.9791666666666666,0.9591836734693877,0.9690721649484536,98.0
Bb,0.9090909090909091,0.47619047619047616,0.6249999999999999,42.0
Bdim,0.9333333333333333,0.9411764705882353,0.9372384937238494,119.0
Bm,0.9230769230769231,0.8372093023255814,0.878048780487805,43.0
C,0.725,0.9886363636363636,0.8365384615384616,88.0
D,0.9468085106382979,0.967391304347826,0.956989247311828,92.0
Dm,0.8817204301075269,0.9213483146067416,0.901098901098901,89.0
E,0.9523809523809523,0.9302325581395349,0.9411764705882352,43.0
Em,1.0,0.9574468085106383,0.9782608695652174,47.0
F,0.9431818181818182,0.9540229885057471,0.9485714285714286,87.0
G,0.9782608695652174,0.9,0.9375,50.0
Accuracy,0.9151162790697674,0.9151162790697674,0.9151162790697674,0.9151162790697674
Macro avg,0.9294865495716521,0.8919838335213347,0.9027143117425919,860.0
Weighted avg,0.9233413918809377,0.9151162790697674,0.9133059077514882,860.0
